s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-535,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation/ Up-gradation of Street/Security light of 125 Bn (Now 48 Bn)  Old Location Sri Gancianaciar under SHO BSF SGNR (Elect),Dept,3594803 dtd 26/07/2023,35.78,09.01.24,12.02.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.04.2024,90,10.07.2024,09.04.2024,,20.03.2025,M/s Jassal Engg SGNR,100,18.37,0,18.37,51.34,,,,,,,,,,,,,,,,,
ENG-1761419859723-536,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation/ up-gradation of UG Cables and Feeder Pillars of 104 Bn (now 23 Bn) Anupgarh under SHQ SGNR (Elect),Dept,3594803 dtd 26/07/2023,18.44,11.12.23,15.01.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.04.2024,75,25.06.2024,22.04.2024,,30.09.24,M/s Singla Elect Srirganganagar,100,18.39,0,18.39,99.73,,,,,,,,,,,,,,,,,
ENG-1761419859723-537,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation / Up-gradation of street / security light of 104 Bn (Now 23 Bn)  Anupgarh under SHQ SGNR (Elect),Dept,3594803 dtd 26/07/2023,40.58,11.12.23,23.10.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.11.2024,75,13.02.2025,27.11.2024,,14.02.2025,M/S Raja Elect.,100,40.83,0,40.83,100.62,,,,,,,,,,,,,,,,,
ENG-1761419859723-538,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Re-carpeting of metal road of 127 Bn Satrana under SHQ BKNR.,Dept,3594803 dtd 26/07/2023,42.47,18/08/2023,28.08.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-09-25,180,08.03.24,2023-10-03,,01.07.24,M/S Gayatri Construction Company Bikaner,100,42.42,0,42.42,99.88,,,,,,,,,,,,,,,,,
ENG-1761419859723-539,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Re-carpeting of metal road of 114 Bn Khajuwala under SHQ BKNR.,Dept,3594803 dtd 26/07/2023,51.39,2023-08-17,28.08.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-09-25,180,07.04.2024,2023-10-05,,05.04.2024,M/S Ali and Company Bikaner,100,54.26,0,54.26,105.58,,,,,,,,,,,,,,,,,
ENG-1761419859723-540,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Re-carpeting of metal road at 'A' Campus of SHO BKNR.,Dept,3594803 dtd 26/07/2023,51.4,2023-08-17,28.08.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-09-25,180,07.04.2024,2023-10-05,,10.05.24,M/S Ali and Company Bikaner,100,53.67,0,53.67,104.42,,,,,,,,,,,,,,,,,
ENG-1761419859723-541,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Re-carpeting of metal road at 'B' Campus of BSF BKNR,Dept,3594803 dtd 26/07/2023,44.81,2023-08-17,28.08.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-09-25,180,2024-04-15,2023-10-05,,31.07.2024,M/S Ali and Company Bikaner,100,47.61,0,47.61,106.25,,,,,,,,,,,,,,,,,
ENG-1761419859723-542,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / up-gradation of UG Cables and Feeder Pillars of 114 Bn Khaiuwala under SHO BKNR (Elect),Dept,3594803 dtd 26/07/2023,77.24,21.12.2023,02.09.2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,10.10.2024,120,19.02.2025,15.10.2024,,02-07.2025,M/s Lokesh Enterprises Bikaner,100,34.04,42.15,76.19,98.64,,,,,,,,,,,,,,,,,
ENG-1761419859723-543,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / up-gradation of UG Cables and Feeder Pillars of 127 Bn (Now 140 Bn) Satrana under SHO BKNR. (Elect),Dept,3594803 dtd 26/07/2023,40.56,05.01.24,16.05.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,13.06.24,120,20.10.2024,21.06.2024,,15.01.25,M/s Shri Electrical Bikaner,100,0,19.76,19.76,48.72,,,,,,,,,,,,,,,,,
ENG-1761419859723-544,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / up-gradation of UG Cables and Feeder Pillars at campus 'A' & 'B' of SHO Bikaner. (Elect),Dept,3594803 dtd 26/07/2023,77.39,05.01.24,02.09.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,10.10.24,120,19.02.2025,15.10.24,,30.06.2025,M/s Lokesh Enterprises Bikaner,100,36.4,38.72,75.12,97.07,,,,,,,,,,,,,,,,,
ENG-1761419859723-545,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / Up-gradation of street / security light at BSFCampus SHO BKNR. (Elect),Dept,3594803 dtd 26/07/2023,40.87,05.01.24,02.09.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,30.09.24,120,25.12.2024,07.10.2024,,30.05.25,M/s Shree electrical enterprises Jodhpur,100,19.79,21.05,40.84,99.93,,,,,,,,,,,,,,,,,
ENG-1761419859723-546,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / Up-gradation of street! security light of 114 Bn Khaiuwala under SHQ BSF BKNR. (Elect),Dept,3594803 dtd 26/07/2023,33.19,21.12.23,02.09.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,28.09.24,75,26.12.2024,08.10.2024,,26.12.24,M/S Raja Electrical Anupgarh,100,11.7,19.25,30.95,93.25,,,,,,,,,,,,,,,,,
ENG-1761419859723-547,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,BKNR,,Renovation / Up-gradation of street! security light of 127 Bn (Now 140 Bn) Satrana under SHO BKNR. (Elect),Dept,3594803 dtd 26/07/2023,25.03,05.01.24,21.06.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,09.09.24,60,18.11.2024,12.09.2024,,15.11.24,M/s Shree electrical enterprises Jodhpur,100,0,22.95,22.95,91.69,,,,,,,,,,,,,,,,,
ENG-1761419859723-548,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(N),,Renovation/ Up-gradation of UG Cable and feeder pillars/panel at BSF campus 76 Bn HQ Nagour under SHQ BSF JSMR (N). (Elect),Dept,3594803 dtd 26/07/2023,28.79,07.11.23,04.06.24,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,02.07.24,,25.09-2024,15.07.2024,,26.09.2024,M/s Indu Corporation Jaisalmer,100,27.580000000000002,0,27.580000000000002,95.8,,,,,,,,,,,,,,,,,
ENG-1761419859723-549,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(N),,Renovation/ Up-gradation of street/security light at BSF campus 76 Bn HQ Nagour under SHQ BSF JSMR (N). (Elect),Dept,3594803 dtd 26/07/2023,16.11,07.11.23,04.06.24,Work completed. Bill under preparation.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,02.07.24,,25.09.2024,05.07.2024,,26.09.24,M/s &D Engg WB,100,6.37,0,6.37,39.54,,,,,,,,,,,,,,,,,
ENG-1761419859723-550,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(N),,Re-carpeting of existing road at BSF campus Ramgarh of 139 Bn (now 166 Bn) BSF under SHO BSF JSMR (N),Dept,3594803 dtd 26/07/2023,98.82,11.09.23,23.09.23,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.11.2023,180,22.05.24,21.11.2023,,22.05.2024,M/s Gayatri Constr. Co. Jaisalmer,100,78.4,0,78.4,79.34,,,,,,,,,,,,,,,,,
ENG-1761419859723-551,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(N),,Re-carpeting of internal Road of 119 Bn (now 191 Bn) BSF at Jaisalmer under SHQ BSF JSMR (N),Dept,3594803 dtd 26/07/2023,99.86,11.09.23,11.10.2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.11.2023,180,23.05.24,21.11.2023,,12.08.2024,M/s Gayatri Constr. Co. Jaisalmer,100,76.23,0,76.23,76.34,,,,,,,,,,,,,,,,,
ENG-1761419859723-552,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Re-carpeting of internal road at BSF Campus Dabla-I of 18 Bn under SHO JSMR(S),Dept,3594803 dtd 26/07/2023,66.11,28.09.2023,11.10.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,23.11.2023,,07.04.2024,15.12.2023,,24.06.24,M/s Gayatri Consr Co. Jaisalmer,100,56.68,0,56.68,85.74,,,,,,,,,,,,,,,,,
ENG-1761419859723-553,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Re-carpeting of internal road at BSF Campus Sam Road of 56 Bn under SHO JSMR(S),Dept,3594803 dtd 26/07/2023,78.21,28.09.2023,11.10.2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,23.11.2023,,07.04.2024,15.12.2023,,24.06.24,M/s Gayatri Consr Co. Jaisalmer,100,67.05,0,67.05,85.73,,,,,,,,,,,,,,,,,
ENG-1761419859723-554,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Renovation/ Up-gradation of UG cable and feeder pillar/panels at  BSF Campus 56 Bn HQ under SHQ BSF JSMR(S) (Elect),Dept,3594803 dtd 26/07/2023,48.3,08.11.23,07.05.2024,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,30.05.2024,,20.08.2024,19.06.2024,,06.10.24,M/s Nadeshwari Electrical Barmer,100,42.870000000000005,0,42.870000000000005,88.76,,,,,,,,,,,,,,,,,
ENG-1761419859723-555,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Renovation/Up-gradation of Street/security lights at BSF Campus 56 Bn HO under SF10 BSF JSMR(S). (Elect),Dept,3594803 dtd 26/07/2023,24.99,08.11.23,27.12.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.02.2024,,09.05.2024,28.02.2024,,23.10.24,M/s Salochana Suppliers Barmer,100,19.85,0,19.85,79.43,,,,,,,,,,,,,,,,,
ENG-1761419859723-556,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Renovation/ Up-gradation of UG cable and feeder pillars/panels at BSF campus 18 Bn HQ under SHQ BSF JSMR(S) (Elect),Dept,3594803 dtd 26/07/2023,48.3,08.11.23,24.09.2024,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.01.2025,,18.03.2025,17.02.2025,,,,100,34.88,0,34.88,72.22,,,,,,,,,,,,,,,,,
ENG-1761419859723-557,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,JSMR(S),,Renovation/ Up-gradation of Street/security lights at BSF campus 18 Bn HO under SHQ BSF JSMR(S) (Elect),Dept,3594803 dtd 26/07/2023,25.15,08.09.2023,27.12.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,14.02.2024,,05.06.2024,05.03.2024,,16.07.24,M/s Maa Swaroop Electrical  JSMR,100,19.09,0,19.09,75.9,,,,,,,,,,,,,,,,,
ENG-1761419859723-558,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,FTR GUJ,,Re-Carpeting of internal road at BSF Campus Gandhinagar under Ftr HQ BSF Gujarat,Dept,3594803 dtd 26/07/2023,99.86,2023-08-30,2023-09-28,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21-11-23,,04.02.2024,2023-06-11,,29.02.24,M/S Mohanram Jogram,100,108.18,0,108.18,108.33,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-559,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,FTR GUJ,,Replacement of old water supply lines and cleaning of storm water drains at BSF Campus Gandhinagar under Ftr HQ BSF Gujarat,Dept,3594803 dtd 26/07/2023,80,2024-08-31,2024-01-11,Work in progress,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,04.03.2024,,13.12.2024,23.03.2024,,,M/S Shyam Co. Company,60,7.01,27.57,34.58,43.23,in progress,,,,,,,,,,,,,,,,
ENG-1761419859723-560,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,FTR GUJ,,Renovation / Up-gradation of UG cables and feeder pillars / panels etc at BSF Campus Gandhinagar Ftr HQ BSF Gujarat,Dept,3594803 dtd 26/07/2023,26.76,2023-09-26,29/09/2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,27/10/23,,04.01.24,2023-06-10,,07.12.24,M/S Girnar Electrical,100,22.52,4.32,26.84,100.3,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-561,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,FTR GUJ,,Renovaiton / Up-gradation of street lights at BSF Campus Gandhinagar under Ftr HQ BSF Gujarat,Dept,3594803 dtd 26/07/2023,13.69,2023-09-28,29/09/2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,25/10/23,,02.01.24,31/10/23,,19.06.24,M/S Shivalaya Corporation,100,12.86,0.82,13.68,99.93,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-562,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BHUJ,,Re-carpeting of internal road of Campus – II of 79 Bn BSF under SHQ BSF Bhuj,Dept,3594803 dtd 26/07/2023,30.86,2023-09-05,22.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,10.11.2023,,22.03.2024,29.11.2023,,31.01.24,M/S Valji Maya & Co.,100,33.84,0,33.84,109.66,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-563,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BHUJ,,Re-carpeting of internal road of Campus – I at Bn HQ of 108 Bn BSF under SHQ BSF Bhuj,Dept,3594803 dtd 26/07/2023,99.3,2023-09-05,22.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,10.11.2023,,21.05.2024,29.11.2023,,18.03.24,M/S Valji Maya & Co.,100,76.77,24.38,101.14999999999999,101.86,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-564,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BHUJ,,Re-Carpeting internal road of Gandhidham Campus of 105 Bn BSF under SHQ BSF Bhuj,Dept,3594803 dtd 26/07/2023,64.54,2023-09-05,22.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,10.11.2023,,21.05.2024,29.11.2023,,28.01.24,M/S Mepabhai Mandan & Co.,100,67.37,1.92,69.29,107.36,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-565,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BHUJ,,Construction of internal road of Gandhidham campus of 105 Bn BSF under SHQ BSF Bhuj,Dept,3594803 dtd 26/07/2023,89.44,2023-09-05,22.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,10.11.2023,,21.05.2024,29.11.2023,,28.01.24,M/S Mepabhai Mandan & Co.,100,71.71,1.65,73.36,82.02,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-566,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BHUJ,,C/O Road between MT Complex to 120 Men Jawan Barrack and balance road in Campus at SHQ BSF Bhuj,Dept,3594803 dtd 26/07/2023,38.35,2023-09-05,22.09.2023,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,10.11.2023,,22.03.2024,29.11.2023,,18.03.24,M/S Valji Maya & Co.,100,0.16,40.09,40.25,104.95,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-567,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BMR,,Re-Carpeting of internal Road in Non-Residential Area of 13 Bn BSF (Bn HQ Magra); under SHQ BSF Barmer of Gujarat FTR.,Dept,3594803 dtd 26/07/2023,29.99,2023-09-12,14.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,2023-10-31,,21.03.24,21.11.23,,22.03.24,M/S  STR Construction,100,32.94,0,32.94,109.84,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-568,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BMR,,Re-Carpeting of internal Road at Bn HQ Campus IV of 142 Bn BS under SHQ BSF Barmer.,Dept,3594803 dtd 26/07/2023,64.04,2023-09-12,14.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,2023-10-31,,21-03-24,21-11-23,,28.03.24,M/S  STR Construction,100,48.7,8.75,57.45,89.71,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-569,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BMR,,Re-carpeting of internal Road at Bn HQ Campus-II of 50 Bn BSF under SHQ BSF Barmer.,Dept,3594803 dtd 26/07/2023,30,2023-09-12,14.09.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,2023-10-31,,21-03-24,21-11-23,,25.03.24,M/S  STR Construction,100,23.4,0,23.4,78,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-570,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BMR,,Re-carpeting of internal Road at Bn HQ Campus-I of 115 Bn BSF under SHQ BSF Barmer.,Dept,3594803 dtd 26/07/2023,30,2023-09-12,14.09.2023,Work Completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,2023-10-31,,21-03-24,21-11-23,,20.03.24,M/S  STR Construction,100,31.16,0,31.16,103.87,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-571,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,BMR,,Renovation/Up-gradation of pump house of 115 Bn BSF under SHQ BSF Barmer (sH: Providing EI; Fans and motor pump set),Dept,3594803 dtd 26/07/2023,12.78,2023-12-05,27.12.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,2023-12-31,,19.01.24,09.01.2024,,15.03.24,M/S Mahadev Group of Engineer; barmer.,100,6.96,2.24,9.2,71.99,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-572,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Gujarat,GNR,,Repair & Re-carpeting of internal road at BSF Campus Dantiwada held in charge of 109 Bn; 37 Bn & 1055 Arty Regmt under SHQ BSF Gandhinagar (Civil works),Dept,3594803 dtd 26/07/2023,69.91,2023-10-13,14.10.2023,Work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,15.10.2023,,14.06.24,04.12.23,,02.03.24,M/S Om Tech & Co,100,0,69.89,69.89,99.97,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-573,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC KMR,KMR,Humahama,Recarpeting of Internal Roads at STC Campus; Kashmir,Dept,3594803 dtd 26/07/2023,99,2023-08-02,04.08.2023,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,14.09.2023,60,2023-11-30,25.09.2023,-,25.10.23,M/S N A Sons; R/O Dharam Bagh; Karal Para; Budgam Kashmir,100,98.97,0,98.97,99.97,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-574,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC K/CAMP,K/CAMP,,Re-carpeting of POP ground at STC BSF Kharkan camp,Dept,3594803 dtd 26/07/2023,63.99,01.08.2023,09.08.2023,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,15.09.23,60,24.11.23,29.09.23,,22.11.23,Gautam constr. Company,100,69.26,0,69.26,108.24,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-575,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC K/CAMP,K/CAMP,,Re-carpeting of roads of non -residential area at STC BSF K/ Camp,Dept,3594803 dtd 26/07/2023,93.06,01.08.2023,09.08.2023,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,15.09.23,60,24.11.23,29.09.23,,22.11.23,Gautam constr. Company,100,98.6,0,98.6,105.95,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-576,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC K/CAMP,K/CAMP,,Renovation/ Up-gradation of Street light and security  light at STC BSF kharkan Camp,Dept,3594803 dtd 26/07/2023,23.49,28.08.23,09.01.24,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,09.10.23,180,21.06.24,15.02.24,28.02.25,28.02.25,M/S Jaswant Electircal,100,4.7,20.05,24.75,105.36,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-577,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC K/CAMP,K/CAMP,,Renovation/ Up-gradation of panel /feeder pillar/ joint box and cables at STC BSF Kharkan camp,Dept,3594803 dtd 26/07/2023,22.78,28.08.23,19.09.23,work completed,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,09.10.23,180,21.06.24,15.02.24,28.02.25,26.02.2025,M/S Jaswant Electircal,100,6.3,18.56,24.86,109.13,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-578,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC U/PUR,U/PUR,Udhampur,RE-CARPETING OF INTERNAL ROADS (MAIN CAMPUS AND OFFICERS COLONY) AT STC BSF UDHAMPUR,Dept,3594803 dtd 26/07/2023,98.15,08.09.23,09.09.2023,Work Completed.,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,26.10.23,180 days,04.01.24,03.11.23,,03.01.24,M/s A S Jamwal; Udhampur,100,98.15,0,98.15,100,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-579,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC U/PUR,U/PUR,Udhampur,RENOVATION/UP-GRADATION OF UG CABLE FEEDER; PILLARS/PANELS ETC AT STC BSF UDHAMPUR,Dept,3594803 dtd 26/07/2023,26.62,21.08.23,23.09.23,Work in progress,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,29.01.24,180 days,10.08.24,12.02.24,,,M/s Swarn Electrical; Jammu,95,0,14.85,14.85,55.79,in progress,,,,,,,,,,,,,,,,
ENG-1761419859723-580,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,STC U/PUR,U/PUR,Udhampur,RENOVATION-UPGRADATION OF STREET SECURITY LIGHT OF MAIN CAMPUS AND JUGANOO TIOP UNDER STC BSF UDHAMPUR,Dept,3594803 dtd 26/07/2023,14.92,21.08.23,23.09.23,Work in progress,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,29.01.24,180 days,02.08.24,06.02.24,,,M/s Neptune Enterprises; Baramula,95,0,10.92,10.92,73.19,in progress,,,,,,,,,,,,,,,,
ENG-1761419859723-581,REV SFA,RB(BS),Umbrella 2021-26,Ren SFA Qtrs,Jammu,FTR JMU,,Renovation/Up-gradation of T-I (494 Nos) SFA residential Qtrs under Ftr HQ BSF Jammu.,Dept,FHQ Sanction O/No. 5259-65 dtd 12/09/2023,791.31,2024-01-30,19.10.24,Work in progress and 1st RA bill amounting to Rs.7.27 lakh pending with PAD,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,06.01.25,540 days,04.01.26,05.02.2025,,,M/s Bodh Raj Sharma and Sons; Jammu,12,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-582,REV SFA,RB(BS),Umbrella 2021-26,Ren SFA Qtrs,Jammu,FTR JMU,,Renovation/Up-gradation of T-II (59 Nos) SFA residential Qtrs under Ftr HQ BSF Jammu.,Dept,FHQ Sanction O/No.5734-40 dtd 28/08/2023,176.12,05.09.2023,06.10.23,Work  completed and final bill under preparation,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,09.02.2024,360 days,12.02.2025,14.02.2024,,20.09.2025,"M/s Kanwal Nain Behl
Jammu",100,127.28,10.07,137.35,77.99,,,,,,,,,,,,,,,,,
ENG-1761419859723-583,REV SFA,RB(BS),Umbrella 2021-26,Ren SFA Qtrs,Jammu,FTR JMU,,Renovation/Up-gradation of T-III (28 Nos) SFA residential Qtrs under Ftr HQ BSF Jammu.,Dept,FHQ Sanction O/No.7855-60 dtd 17.11.2023,103.35,14.12.2023,03.01.24,Work  in progress and 5th RA bill under preparation,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,12.03.2024,360 days,17.03.2025,19.03.2024,,,"M/s Ashok Kr Sharma
Jammu",70,51.91,11.43,63.339999999999996,61.29,,,,,,,,,,,,,,,,,
ENG-1761419859723-584,REV SFA,RB(BS),Umbrella 2021-26,Ren SFA Qtrs,Punjab,GSP,,SFA Type-I Qtrs (Total 16 Nos) of 132 Bn Madhopur,Dept,O/No.7085-92 dated 17.10.2023,39.518,27.10.2023,06.11.2023,work complted,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,01.01.2024,180,10.07.2024,09.01.24,31.03.25,04.01.2025,M/S Dilbag Singh,100,40.4,0,40.4,102.23,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-585,REV SFA,RB(BS),Umbrella 2021-26,Ren SFA Qtrs,Punjab,ASR,,SFA Type-I 20 (Total No. 01 to 20) of Khasa Campus,Dept,O/No.430-37 dated 01.02.2024,51.75517,02.02.24,20.02.24,Work in progress,2025-10-25T19:17:42.203Z,2025-10-25T19:17:42.203Z,26.02.24,365,01.01.2025,12.03.24,,,M/s Karanjeet Singh,95,30.92,16.65,47.57,91.91,,,,,,,,,,,,,,,,,
